aprtfEtryptDt,total,MB,MK,MS
2022031612,7406,3848.2900034118047,1289.5014215853519,2268.208575002843
2022031617,5996,3115.6287956328897,1043.9981803707494,1836.3730239963606
2022031614,4105,2133.031388604572,714.7452519049243,1257.2233594905038
2022031608,1380,717.0726714431935,240.27976799727054,422.647560559536
2022031610,3994,2075.353804162402,695.418401000796,1223.2277948368019
2022031617,9956,5173.3155919481405,1733.4966450585694,3049.18776299329
2022031616,27003,14031.24155578301,4701.648242920504,8270.110201296486
2022031611,36177,18798.215967246673,6298.986352780621,11079.797679972706
2022031613,23238,12074.880245649949,4046.102354145343,7117.017400204708
2022031606,28736,14931.739338109861,5003.390879108381,8800.869782781758
2022031614,74,38.451722961446606,12.884567269418856,22.663709769134538
2022031610,1959,1017.9314227226203,341.0928010917775,599.9757761856022
2022031606,9998,5195.13954281815,1740.809507562834,3062.050949619015
2022031609,9988,5189.943364039577,1739.0683498237233,3058.9882861366996
2022031605,43974,22849.676560900716,7656.5670419652,13467.756397134082
2022031611,18462,9593.185261003071,3214.5254179460935,5654.2893210508355
2022031609,9598,4987.292391675196,1671.1631979984077,2939.544410326396
2022031601,9742,5062.11736608666,1696.2358694416012,2983.6467644717386
2022031610,3428,1781.2500852951212,596.8688729671329,1049.8810417377458
2022031613,75015,38979.135107471855,13061.294779938587,22974.570112589558
2022031608,140979,73255.2088024565,24546.66769020812,43177.123507335375
2022031602,141649,73603.35278062095,24663.32525872853,43382.321960650515
2022031607,9940,5165.001705902422,1730.7107926759923,3044.287501421585
2022031602,28270,14689.597407028317,4922.252928465825,8658.149664505856
2022031605,7726,4014.5677243261684,1345.2184692368928,2366.2138064369383
2022031607,6368,3308.9266461958377,1108.7692482656657,1950.3041055384965
2022031606,9997,5194.6199249402935,1740.635391788923,3061.7446832707833
2022031610,23984,12462.515182531559,4175.992721482998,7345.492095985443
2022031606,1486,772.1521664960765,258.7360400318435,455.11179347208
2022031612,520,270.201296485841,90.54020243375412,159.25850108040487
2022031610,739,383.9976117366087,128.67155692027748,226.33083134311383
2022031602,43018,22352.921869669055,7490.112362106221,13174.965768224723
2022031609,40839,21220.67451381781,7110.714090754009,12507.611395428181
2022031604,2006,1042.3534629819173,349.27624246559765,614.3702945524849
2022031614,1686,876.0757420675537,293.55919481405664,516.3650631183896
2022031614,7206,3744.3664278403276,1254.6782668031387,2206.9553053565332
2022031609,75308,39131.38314568406,13112.310701694529,23064.3061526214
2022031615,322,167.31695667007847,56.065279199363125,98.6177641305584
2022031607,556,288.9075400887069,96.80837029455247,170.28408961674057
2022031609,299,155.3657454793586,52.060616399408616,91.57363812123279
2022031616,753,391.27226202661205,131.10917775503242,230.6185602183555
2022031606,164,85.21733196861139,28.55498692141476,50.22768110997384
2022031607,2339,1215.3862163084273,407.2567951779825,716.3569885135903
2022031605,801,416.21392016376666,139.46673490276356,245.31934493346978
2022031616,67,34.8143978164449,11.665756852041396,20.519845331513704
2022031616,46,23.90242238143978,8.009325599909019,14.088252018651199
2022031607,4416,2294.632548618219,768.8952575912657,1352.4721937905151
2022031607,5310,2759.170931422723,924.5547594677585,1626.2743091095188
2022031602,550,285.7898328215626,95.76367565108609,168.4464915273513
2022031611,125,64.95223473217332,21.764471738883202,38.283293528943474
2022031601,0,0.0,0.0,0.0
2022031602,0,0.0,0.0,0.0
2022031603,0,0.0,0.0,0.0
2022031604,0,0.0,0.0,0.0
2022031605,0,0.0,0.0,0.0
2022031606,0,0.0,0.0,0.0
2022031607,0,0.0,0.0,0.0
2022031608,0,0.0,0.0,0.0
2022031609,0,0.0,0.0,0.0
2022031610,0,0.0,0.0,0.0
2022031611,0,0.0,0.0,0.0
2022031612,0,0.0,0.0,0.0
2022031613,0,0.0,0.0,0.0
2022031614,0,0.0,0.0,0.0
2022031615,0,0.0,0.0,0.0
2022031616,0,0.0,0.0,0.0
2022031617,0,0.0,0.0,0.0
2022031618,0,0.0,0.0,0.0
2022031619,0,0.0,0.0,0.0
2022031620,0,0.0,0.0,0.0
2022031621,0,0.0,0.0,0.0
2022031622,0,0.0,0.0,0.0
2022031623,0,0.0,0.0,0.0
2022031624,0,0.0,0.0,0.0
2022031613,72,37.412487205731836,12.536335721596725,22.051177072671443
2022031604,93,48.32446264073695,16.192766973729103,28.482770385533946
2022031615,271,140.81644489935175,47.18537472989878,82.99818037074945
2022031611,63,32.735926305015354,10.969293756397134,19.29477993858751
2022031613,149,77.4230638007506,25.943250312748777,45.63368588650062
2022031612,149,77.4230638007506,25.943250312748777,45.63368588650062
2022031612,51,26.500511770726714,8.879904469464346,15.619583759808938
2022031610,51,26.500511770726714,8.879904469464346,15.619583759808938
2022031608,143,74.30535653360627,24.898555669282384,43.79608779711133
2022031612,129,67.03070624360286,22.460934834527464,39.508358921869664
2022031602,1668,866.7226202661208,290.42511088365745,510.8522688502217
2022031609,106,55.079495052882976,18.456272034572955,32.46423291254407
2022031617,549,285.27021494370524,95.58955987717502,168.14022517911974
2022031610,563,292.5448652337086,98.02718071192994,172.4279540543614
2022031615,84,43.64790174002047,14.625725008529512,25.726373251450017
2022031614,62,32.21630842715797,10.795177982486068,18.988513590355964
2022031611,62,32.21630842715797,10.795177982486068,18.988513590355964
2022031616,220,114.31593312862505,38.30547026043443,67.37859661094052
2022031613,80,41.569430228590925,13.929261912885249,24.501307858523823
2022031613,995,517.0197884680996,173.24519504151027,304.7350164903901
2022031611,112,58.197202320027294,19.500966678039347,34.30183100193335
2022031610,112,58.197202320027294,19.500966678039347,34.30183100193335
2022031612,194,100.80586830433299,33.77846013874673,59.41567155692027
2022031609,194,100.80586830433299,33.77846013874673,59.41567155692027
2022031615,291,151.20880245649948,50.66769020812009,89.12350733538041
2022031615,454,235.9065165472535,79.04856135562379,139.0449220971227
2022031608,62,32.21630842715797,10.795177982486068,18.988513590355964
2022031613,890,462.459911293074,154.9630387808484,272.57704992607756
2022031606,149,77.4230638007506,25.943250312748777,45.63368588650062
2022031616,149,77.4230638007506,25.943250312748777,45.63368588650062
2022031616,10,5.196178778573866,1.741157739110656,3.062663482315478
2022031610,91,47.285226885022176,15.84453542590697,27.87023768907085
2022031615,40,20.784715114295462,6.964630956442624,12.250653929261912
2022031606,507,263.446264073695,88.27669737291026,155.27703855339473
2022031617,46,23.90242238143978,8.009325599909019,14.088252018651199
2022031612,69,35.85363357215967,12.013988399863527,21.1323780279768
2022031611,69,35.85363357215967,12.013988399863527,21.1323780279768
2022031603,15549,8079.538382804503,2707.3261685431594,4762.135448652337
2022031608,18502,9613.969976117367,3221.490048902536,5666.539974980097
2022031602,18502,9613.969976117367,3221.490048902536,5666.539974980097
2022031601,16850,8755.561241896963,2933.8507904014555,5160.58796770158
2022031609,342,177.7093142272262,59.54759467758444,104.74309109518934
2022031603,79702,41414.58410098942,13877.375412259751,24410.040486750822
2022031607,7747,4025.479699761174,1348.8749004890253,2372.6453997498006
2022031609,1958,1017.4118048447629,340.91868531786645,599.6695098373706
2022031612,393,204.20982599795292,68.42749914704879,120.36267485499829
2022031609,383,199.01364721937904,66.68634140793813,117.3000113726828
2022031608,2193,1139.5220061412488,381.8358921869669,671.6421016717843
2022031614,1848,960.2538382804504,321.76595018764925,565.9802115319003
2022031601,7406,3848.2900034118047,1289.5014215853519,2268.208575002843
2022031601,0,0.0,0.0,0.0
2022031602,0,0.0,0.0,0.0
2022031603,0,0.0,0.0,0.0
2022031604,0,0.0,0.0,0.0
2022031605,0,0.0,0.0,0.0
2022031606,0,0.0,0.0,0.0
2022031607,0,0.0,0.0,0.0
2022031608,0,0.0,0.0,0.0
2022031609,0,0.0,0.0,0.0
2022031610,0,0.0,0.0,0.0
2022031611,0,0.0,0.0,0.0
2022031612,0,0.0,0.0,0.0
2022031613,0,0.0,0.0,0.0
2022031614,0,0.0,0.0,0.0
2022031615,0,0.0,0.0,0.0
2022031616,0,0.0,0.0,0.0
2022031617,0,0.0,0.0,0.0
2022031618,0,0.0,0.0,0.0
2022031619,0,0.0,0.0,0.0
2022031620,0,0.0,0.0,0.0
2022031621,0,0.0,0.0,0.0
2022031622,0,0.0,0.0,0.0
2022031623,0,0.0,0.0,0.0
2022031624,0,0.0,0.0,0.0
